"","external_gene_name","hsapiens_homolog_associated_gene_name","hsapiens_homolog_chromosome","hsapiens_homolog_orthology_type","hsapiens_homolog_perc_id"
"33","Dsg3","DSG3","18","ortholog_one2one",73.1118
"34","C330018D20Rik","C5orf63","5","ortholog_one2one",81.7391
"35","Dsg2","DSG2","18","ortholog_one2one",76.5597
"36","Ttr","TTR","18","ortholog_one2one",81.6327
"37","B4galt6","B4GALT6","18","ortholog_one2one",94.7644
"38","Megf10","MEGF10","5","ortholog_one2one",93.9843
"39","Trappc8","TRAPPC8","18","ortholog_one2one",91.7189
"40","Rnf125","RNF125","18","ortholog_one2one",85.8369
"41","Rnf138","RNF138","18","ortholog_one2one",93.8775
"42","Mep1b","MEP1B","18","ortholog_one2one",77.2727
"43","Fbn2","FBN2","5","ortholog_one2one",96.4912
"44","Klhl14","KLHL14","18","ortholog_one2one",98.7302
"45","Slc27a6","SLC27A6","5","ortholog_one2one",78.3522
"46","Isoc1","ISOC1","5","ortholog_one2one",94.9495
"47","Adamts19","ADAMTS19","5","ortholog_one2one",87.3554
"48","Ccdc178","CCDC178","18","ortholog_one2one",49.7691
"49","Krtap8-1","KRTAP8-1","21","ortholog_one2one",85.2459
"50","Klf9","KLF9","9","ortholog_one2one",96.7213
"51","Krtap7-1","KRTAP7-1","21","ortholog_one2one",79.3103
"52","Krtap11-1","KRTAP11-1","21","ortholog_one2one",73.7705
"53","Rbm14","RBM14","11","ortholog_one2one",98.3558
"54","Rabl3","RABL3","3","ortholog_one2one",92.3729
"55","Habp2","HABP2","10","ortholog_one2one",78.7004
"56","Hgd","HGD","3","ortholog_one2one",92.3596
"57","Chsy3","CHSY3","5","ortholog_one2one",91.1765
"58","Ndufb4","NDUFB4","3","ortholog_one2one",75.1938
"59","Ccs","CCS","11","ortholog_one2one",86.8613
"60","Marf1","MARF1","16","ortholog_one2one",86.2327
"61","Asxl3","ASXL3","18","ortholog_one2one",81.7257
"62","Ccdc87","CCDC87","11","ortholog_one2one",60
"63","Ctsf","CTSF","11","ortholog_one2one",77.7056
"64","Mir484","MIR484","16","ortholog_one2one",77.6119
"65","Fstl1","FSTL1","3","ortholog_one2one",91.1765
"66","Smim3","SMIM3","5","ortholog_one2one",81.6667
"67","Dctn4","DCTN4","5","ortholog_one2one",95.2891
"68","Lrrc58","LRRC58","3","ortholog_one2one",94.5355
"69","Gpr156","GPR156","3","ortholog_one2one",71.3033
"70","Gsk3b","GSK3B","3","ortholog_one2one",96.0739
"71","Actn3","ACTN3","11","ortholog_one2one",97.2222
"72","Nol4","NOL4","18","ortholog_one2one",94.6625
"73","Nde1","NDE1","16","ortholog_one2one",83.7209
"74","Smc5","SMC5","9","ortholog_one2one",89.4641
"75","Rbm22","RBM22","5","ortholog_one2one",100
"76","Tiam1","TIAM1","21","ortholog_one2one",95.4745
"77","Myoz3","MYOZ3","5","ortholog_one2one",75.102
"78","Synpo","SYNPO","5","ortholog_one2one",65
"79","Gm24263","RNU6-806P","5","ortholog_one2one",69.1589
"80","Zdhhc24","ZDHHC24","11","ortholog_one2one",87.3239
"81","Ndst1","NDST1","5","ortholog_one2one",97.7324
"82","Mamdc2","MAMDC2","9","ortholog_one2one",89.9417
"83","Rps14","RPS14","5","ortholog_one2one",100
"84","Ptar1","PTAR1","9","ortholog_one2one",83.9623
"85","Bbs1","BBS1","11","ortholog_one2one",92.0742
"86","Dtna","DTNA","18","ortholog_one2one",95.4424
"87","Sod1","SOD1","21","ortholog_one2one",83.7662
"88","Scaf4","SCAF4","21","ortholog_one2one",84.6154
"89","Apba1","APBA1","9","ortholog_one2one",91.8052
"90","Hunk","HUNK","21","ortholog_one2one",92.437
"91","Mis18a","MIS18A","21","ortholog_one2one",76.4706
"92","Cd74","CD74","5","ortholog_one2one",77.0609
"93","Mrap","MRAP","21","ortholog_one2one",64.5669
"94","Urb1","URB1","21","ortholog_one2one",76.1089
"95","Tjp2","TJP2","9","ortholog_one2one",85.042
"96","Mapre2","MAPRE2","18","ortholog_one2one",97.2393
"97","Myh11","MYH11","16","ortholog_one2one",96.1597
"98","Gm23207","RNU6-373P","5","ortholog_one2one",68.6274
"99","Zfp397","ZNF397","18","ortholog_one2one",84.4402
"100","Zfp24","ZNF24","18","ortholog_one2one",95.1087
"101","Peli3","PELI3","11","ortholog_one2one",96.6292
"102","Ino80c","INO80C","18","ortholog_one2one",58.8745
"103","Fxn","FXN","9","ortholog_one2one",74.8792
"104","Tcof1","TCOF1","5","ortholog_one2one",57.1534
"105","Mrpl11","MRPL11","11","ortholog_one2one",87.5
"106","Npas4","NPAS4","11","ortholog_one2one",92.8928
"107","Pip5k1b","PIP5K1B","9","ortholog_one2one",96.475
"108","Fam122a","PABIR1","9","ortholog_one2one",97.8873
"109","Tmem252","TMEM252","9","ortholog_one2one",60.6557
"110","Pgm5","PGM5","9","ortholog_one2one",97.5309
"111","Gm23787","SNORD114-14","14","ortholog_one2one",76.7123
"112","Arsi","ARSI","5","ortholog_one2one",95.288
"113","Mir299a","MIR299","14","ortholog_one2one",96.8254
"114","Galnt1","GALNT1","18","ortholog_one2one",98.39
"115","Mir323","MIR323A","14","ortholog_one2one",97.6744
"116","Mir494","MIR494","14","ortholog_one2one",94.1176
"117","Nrap","NRAP","10","ortholog_one2one",86.169
"118","Eva1c","EVA1C","21","ortholog_one2one",76.6816
"119","Mir381","MIR381","14","ortholog_one2one",100
"120","Gpr50","GPR50","X","ortholog_one2one",73.9425
"121","Trib2","TRIB2","2","ortholog_one2one",98.2507
"122","Slc16a2","SLC16A2","X","ortholog_one2one",93.211
"123","Mir187","MIR187","18","ortholog_one2one",98.3607
"124","2700062C07Rik","C18orf21","18","ortholog_one2one",73.7327
"125","Heatr5a","HEATR5A","14","ortholog_one2one",87.6349
"126","Rprd1a","RPRD1A","18","ortholog_one2one",98.7179
"127","Slc39a6","SLC39A6","18","ortholog_one2one",85.3595
"128","Vma21","VMA21","X","ortholog_one2one",61.194
"129","Igsf11","IGSF11","3","ortholog_one2one",89.0187
"130","Camk2a","CAMK2A","5","ortholog_one2one",99.7955
"131","Htr2c","HTR2C","X","ortholog_one2one",90.4139
"132","Lsamp","LSAMP","3","ortholog_one2one",88.169
"133","Dtd2","DTD2","14","ortholog_one2one",84.5238
"134","Rlim","RLIM","X","ortholog_one2one",88.6667
"135","Gpr33","GPR33","14","ortholog_one2one",70.7965
"136","Vrtn","VRTN","14","ortholog_one2one",69.1892
"137","Gm22543","RNU6-539P","14","ortholog_one2one",86.1702
"138","Fam169a","FAM169A","5","ortholog_one2one",80.4511
"139","Gap43","GAP43","3","ortholog_one2one",84.141
"140","Snora35","SNORA35","X","ortholog_one2one",82.0312
"141","Gm1141","PASD1","X","ortholog_one2one",18.0739
"142","Efcab1","CLXN","8","ortholog_one2one",91.5094
"143","Mir448","MIR448","X","ortholog_one2one",93.75
"144","Slc6a7","SLC6A7","5","ortholog_one2one",97.6452
"145","Prrg3","PRRG3","X","ortholog_one2one",94.3723
"146","Mir382","MIR382","14","ortholog_one2one",98.6842
"147","Mir134","MIR134","14","ortholog_one2one",97.1831
"148","Mir668","MIR668","14","ortholog_one2one",96.9697
"149","Mir154","MIR154","14","ortholog_one2one",98.4848
"150","Mir496a","MIR496","14","ortholog_one2one",93.6709
"151","Mir377","MIR377","14","ortholog_one2one",98.5294
"152","Syndig1l","SYNDIG1L","14","ortholog_one2one",89.0295
"153","Mir541","MIR541","14","ortholog_one2one",68.8889
"154","Cdx1","CDX1","5","ortholog_one2one",83.9552
"155","Mir409","MIR409","14","ortholog_one2one",97.4684
"156","Mir412","MIR412","14","ortholog_one2one",92.5
"157","Mir410","MIR410","14","ortholog_one2one",93.8272
"158","Nubpl","NUBPL","14","ortholog_one2one",88.0878
"159","Elp2","ELP2","18","ortholog_one2one",78.0987
"160","Synj1","SYNJ1","21","ortholog_one2one",76.3535
"161","Mfsd14b","MFSD14B","9","ortholog_one2one",89.7436
"162","Fate1","FATE1","X","ortholog_one2one",48.4848
"163","Slc29a2","SLC29A2","11","ortholog_one2one",88.8158
"164","Il13ra2","IL13RA2","X","ortholog_one2one",56.9191
"165","Npc2","NPC2","14","ortholog_one2one",81.2081
"166","Isca2","ISCA2","14","ortholog_one2one",83.7662
"167","Tfap2a","TFAP2A","6","ortholog_one2one",89.2704
"168","Arhgap5","ARHGAP5","14","ortholog_one2one",97.3387
"169","Cnga2","CNGA2","X","ortholog_one2one",93.6747
"170","B4gat1","B4GAT1","11","ortholog_one2one",96.6265
"171","Abcb7","ABCB7","X","ortholog_one2one",92.2872
"172","Mocos","MOCOS","18","ortholog_one2one",76.3341
"173","Akap6","AKAP6","14","ortholog_one2one",81.2744
"174","Pspc1","PSPC1","13","ortholog_one2one",97.7055
"175","Pdgfrb","PDGFRB","5","ortholog_one2one",85.3128
"176","Ube2v2","UBE2V2","8","ortholog_one2one",98.6207
"177","Casp7","CASP7","10","ortholog_one2one",82.1782
"178","Uprt","UPRT","X","ortholog_one2one",86.129
"179","Npas3","NPAS3","14","ortholog_one2one",94.0541
"180","Gabre","GABRE","X","ortholog_one2one",37.9913
"181","Dach1","DACH1","13","ortholog_one2one",90.2796
"182","Brms1","BRMS1","11","ortholog_one2one",90.6504
"183","Mcm4","MCM4","8","ortholog_one2one",95.0116
"184","Gcnt2","GCNT2","6","ortholog_one2one",77.8055
"185","Egln3","EGLN3","14","ortholog_one2one",96.2343
"186","Dock8","DOCK8","9","ortholog_one2one",91.9524
"187","Zdhhc15","ZDHHC15","X","ortholog_one2one",97.6261
"188","Sptssa","SPTSSA","14","ortholog_one2one",98.5916
"189","Csf1r","CSF1R","5","ortholog_one2one",74.8209
"190","Paxbp1","PAXBP1","21","ortholog_one2one",95.2122
"191","Ltbp2","LTBP2","14","ortholog_one2one",80.5417
"192","Magee2","MAGEE2","X","ortholog_one2one",83.5564
"193","Zmym5","ZMYM5","13","ortholog_one2one",68.4211
"194","Gabra3","GABRA3","X","ortholog_one2one",88.743
"195","Nme8","NME8","7","ortholog_one2one",62.9693
"196","Agrp","AGRP","16","ortholog_one2one",80.1527
"197","Rin1","RIN1","11","ortholog_one2one",79.9742
"198","Mzt1","MZT1","13","ortholog_one2one",84.6154
"199","Hmgxb3","HMGXB3","5","ortholog_one2one",89.0358
"200","Wdhd1","WDHD1","14","ortholog_one2one",83.8998
"201","4932438H23Rik","C21orf62","21","ortholog_one2one",64.7826
"202","Cd248","CD248","11","ortholog_one2one",77.6471
"203","Zbtb20","ZBTB20","3","ortholog_one2one",97.7058
"204","Tmem151a","TMEM151A","11","ortholog_one2one",97.4359
"205","Kank1","KANK1","9","ortholog_one2one",84.4118
"206","Smug1","SMUG1","12","ortholog_one2one",86.0215
"207","Pak1ip1","PAK1IP1","6","ortholog_one2one",73.822
"208","Gabrq","GABRQ","X","ortholog_one2one",76.8025
"209","Ctcf","CTCF","16","ortholog_one2one",97.962
"210","Ccdc134","CCDC134","22","ortholog_one2one",89.5197
"211","Dmrt1","DMRT1","9","ortholog_one2one",82.6203
"212","Slc26a2","SLC26A2","5","ortholog_one2one",80.9202
"213","Eapp","EAPP","14","ortholog_one2one",87.5445
"214","Dmrt3","DMRT3","9","ortholog_one2one",89.7059
"215","Fhod3","FHOD3","18","ortholog_one2one",88.6565
"216","Nr3c2","NR3C2","4","ortholog_one2one",90.8537
"217","Dmrt2","DMRT2","9","ortholog_one2one",83.9572
"218","Tmem14c","TMEM14C","6","ortholog_one2one",83.3333
"219","Yif1a","YIF1A","11","ortholog_one2one",92.4915
"220","Mroh2b","MROH2B","5","ortholog_one2one",81.5939
"221","Cetn2","CETN2","X","ortholog_one2one",95.9302
"222","Gpr141","GPR141","7","ortholog_one2one",80.9836
"223","Ppp2r5c","PPP2R5C","14","ortholog_one2one",92.7481
"224","Socs4","SOCS4","14","ortholog_one2one",86.6973
"225","Elmo1","ELMO1","7","ortholog_one2one",99.4498
"226","Lrch2","LRCH2","X","ortholog_one2one",90.8163
"227","Zmym2","ZMYM2","13","ortholog_one2one",96.0756
"228","Nhlrc2","NHLRC2","10","ortholog_one2one",83.7241
"229","Adrb1","ADRB1","10","ortholog_one2one",92.2747
"230","Cbx5","CBX5","12","ortholog_one2one",97.9058
"231","Cnih2","CNIH2","11","ortholog_one2one",100
"232","Bora","BORA","13","ortholog_one2one",70.2857
"233","Pcm1","PCM1","8","ortholog_one2one",87.064
"234","Ccdc186","CCDC186","10","ortholog_one2one",82.4427
"235","C7","C7","5","ortholog_one2one",73.7278
"236","Tigit","TIGIT","3","ortholog_one2one",60.166
"237","Prkdc","PRKDC","8","ortholog_one2one",79.1182
"238","Card6","CARD6","5","ortholog_one2one",51.234
"239","Aoah","AOAH","7","ortholog_one2one",76.3066
"240","Snord72","SNORD72","5","ortholog_one2one",88.8889
"241","Prkaa1","PRKAA1","5","ortholog_one2one",98.7478
"242","Rab1b","RAB1B","11","ortholog_one2one",73.622
"243","Pbdc1","PBDC1","X","ortholog_one2one",83.3333
"244","Dis3","DIS3","13","ortholog_one2one",91.1273
"245","Srebf2","SREBF2","22","ortholog_one2one",92.2124
"246","Klc2","KLC2","11","ortholog_one2one",95.9612
"247","Mrpl47","MRPL47","3","ortholog_one2one",76.5873
"248","Arel1","AREL1","14","ortholog_one2one",97.2053
"249","Pde6a","PDE6A","5","ortholog_one2one",94.8837
"250","Mak","MAK","6","ortholog_one2one",83.9009
"251","Nsdhl","NSDHL","X","ortholog_one2one",85.6354
"252","Adgrl4","ADGRL4","1","ortholog_one2one",73.613
"253","Tpgs2","TPGS2","18","ortholog_one2one",83.7838
"254","Magee1","MAGEE1","X","ortholog_one2one",64.0523
"255","Lgals3","LGALS3","14","ortholog_one2one",76.8939
"256","Ndufb5","NDUFB5","3","ortholog_one2one",75.6614
"257","Acd","ACD","16","ortholog_one2one",64.9038
"258","Mtbp","MTBP","8","ortholog_one2one",77.8523
"259","Ppargc1b","PPARGC1B","5","ortholog_one2one",75.8252
"260","Pacs1","PACS1","11","ortholog_one2one",97.6067
"261","Fgf16","FGF16","X","ortholog_one2one",99.5169
"262","Ift88","IFT88","13","ortholog_one2one",89.3333
"263","Slc30a7","SLC30A7","1","ortholog_one2one",94.9735
"264","Drd3","DRD3","3","ortholog_one2one",75.523
"265","Dync1h1","DYNC1H1","14","ortholog_one2one",99.2033
"266","Mir378a","MIR378A","5","ortholog_one2one",98.4848
"267","AW554918","KIAA1328","18","ortholog_one2one",68.3007
"268","Ifi44","IFI44","1","ortholog_one2one",56.6351
"269","Asah1","ASAH1","8","ortholog_one2one",79.4416
"270","Cebpd","CEBPD","8","ortholog_one2one",85.8209
"271","Ifi44l","IFI44L","1","ortholog_one2one",61.1465
"272","Sf3b2","SF3B2","11","ortholog_one2one",97.7221
"273","Ptgfr","PTGFR","1","ortholog_one2one",86.8852
"274","Celf4","CELF4","18","ortholog_one2one",95.6349
"275","Gfm2","GFM2","5","ortholog_one2one",83.9538
"276","Dock11","DOCK11","X","ortholog_one2one",96.6233
"277","Pibf1","PIBF1","13","ortholog_one2one",88.2275
"278","Usp13","USP13","3","ortholog_one2one",96.3869
"279","Fcf1","FCF1","14","ortholog_one2one",97.9798
"280","Spidr","SPIDR","8","ortholog_one2one",63.5584
"281","Pard6a","PARD6A","16","ortholog_one2one",92.7746
"282","Hsp90aa1","HSP90AA1","14","ortholog_one2one",99.045
"283","Mir33","MIR33A","22","ortholog_one2one",91.3043
"284","Shisa8","SHISA8","22","ortholog_one2one",79.9499
"285","Il17d","IL17D","13","ortholog_one2one",83.4146
"286","Gal3st3","GAL3ST3","11","ortholog_one2one",94.6636
"287","Sntb1","SNTB1","8","ortholog_one2one",93.1099
"288","Zmiz1","ZMIZ1","10","ortholog_one2one",97.5746
"289","Catsper1","CATSPER1","11","ortholog_one2one",52.0408
"290","Extl2","EXTL2","1","ortholog_one2one",86.9697
"291","Ttc33","TTC33","5","ortholog_one2one",81.6794
"292","Enkd1","ENKD1","16","ortholog_one2one",84.3931
"293","Cst6","CST6","11","ortholog_one2one",69.1275
"294","Pkp2","PKP2","12","ortholog_one2one",81.8868
"295","Tdrd1","TDRD1","10","ortholog_one2one",71.843
"296","4933405L10Rik","C16orf86","16","ortholog_one2one",65.1466
"297","Arhgap10","ARHGAP10","4","ortholog_one2one",91.4758
"298","Tnfrsf13c","TNFRSF13C","22","ortholog_one2one",46.5
"299","Ccdc191","CCDC191","3","ortholog_one2one",71.0079
"300","Gipc2","GIPC2","1","ortholog_one2one",83.121
"301","Lpin1","LPIN1","2","ortholog_one2one",84.2754
"302","Has2","HAS2","8","ortholog_one2one",98.913
"303","Hnrnpa1","HNRNPA1","12","ortholog_one2one",99.4638
"304","Eef1akmt1","EEF1AKMT1","13","ortholog_one2one",78.125
"305","Dnajb4","DNAJB4","1","ortholog_one2one",94.0653
"306","Yars2","YARS2","12","ortholog_one2one",85.3814
"307","Klf5","KLF5","13","ortholog_one2one",91.4798
"308","Gm25130","RNU1-96P","3","ortholog_one2one",66.6667
"309","Zdhhc23","ZDHHC23","3","ortholog_one2one",90.1176
"310","Gm22970","RNU2-7P","13","ortholog_one2one",55.3763
"311","Klf12","KLF12","13","ortholog_one2one",97.0149
"312","Pik3c3","PIK3C3","18","ortholog_one2one",97.9707
"313","Ift80","IFT80","3","ortholog_one2one",94.3372
"314","Ifnar1","IFNAR1","21","ortholog_one2one",46.1017
"315","Prr30","PRR30","2","ortholog_one2one",54.1147
"316","Ptger4","PTGER4","5","ortholog_one2one",84.0156
"317","Triml1","TRIML1","4","ortholog_one2one",79.7872
"318","Xpo4","XPO4","13","ortholog_one2one",98.523
"319","Gfod2","GFOD2","16","ortholog_one2one",95.5844
"320","Triml2","TRIML2","4","ortholog_one2one",58.7264
"321","Ifngr2","IFNGR2","21","ortholog_one2one",59.6386
"322","Hexb","HEXB","5","ortholog_one2one",74.6269
"323","Prmt9","PRMT9","4","ortholog_one2one",86.4066
"324","Tmem50b","TMEM50B","21","ortholog_one2one",98.1013
"325","Nfe2","NFE2","12","ortholog_one2one",83.5859
"326","Lats2","LATS2","13","ortholog_one2one",83.4933
"327","Gramd1c","GRAMD1C","3","ortholog_one2one",82.3263
"328","Enc1","ENC1","5","ortholog_one2one",99.3209
"329","Vcam1","VCAM1","1","ortholog_one2one",75.7781
"330","Zfp42","ZFP42","4","ortholog_one2one",56.9444
"331","Banf1","BANF1","11","ortholog_one2one",96.6292
"332","Cenpm","CENPM","22","ortholog_one2one",79.4444
"333","Atrx","ATRX","X","ortholog_one2one",83.8045
"334","Ranbp10","RANBP10","16","ortholog_one2one",93.5185
"335","Tmem170b","TMEM170B","6","ortholog_one2one",97.7273
"336","Eif1ad","EIF1AD","11","ortholog_one2one",87.0588
"337","Rit2","RIT2","18","ortholog_one2one",91.7051
"338","Vwa2","VWA2","10","ortholog_one2one",76.359
"339","Tacr2","TACR2","10","ortholog_one2one",85.4167
"340","Syt4","SYT4","18","ortholog_one2one",89.8824
"341","Slc25a46","SLC25A46","5","ortholog_one2one",88.9952
"342","1500009L16Rik","C12orf75","12","ortholog_one2one",85.7143
"343","Gpr88","GPR88","1","ortholog_one2one",95.5729
"344","Adtrp","ADTRP","6","ortholog_one2one",57.2519
"345","Ska3","SKA3","13","ortholog_one2one",62.5304
"346","Smc4","SMC4","3","ortholog_one2one",89.5023
"347","Il17b","IL17B","5","ortholog_one2one",88.3333
"348","Zhx2","ZHX2","8","ortholog_one2one",87.201
"349","Arhgap18","ARHGAP18","6","ortholog_one2one",84.7662
"350","Pcyox1l","PCYOX1L","5","ortholog_one2one",93.3333
"351","Dnajc28","DNAJC28","21","ortholog_one2one",68.7042
"352","Dlgap5","DLGAP5","14","ortholog_one2one",58.5396
"353","Tmem184c","TMEM184C","4","ortholog_one2one",55.1447
"354","Derl1","DERL1","8","ortholog_one2one",97.6096
"355","Grpel2","GRPEL2","5","ortholog_one2one",85.2679
"356","Sart1","SART1","11","ortholog_one2one",94.7891
"357","Atp6v1a","ATP6V1A","3","ortholog_one2one",98.0551
"358","Trbv17","TRBV15","7","ortholog_one2one",59.6491
"359","Afap1l1","AFAP1L1","5","ortholog_one2one",88.9323
"360","Il12rb2","IL12RB2","1","ortholog_one2one",66.0183
"361","Nuak1","NUAK1","12","ortholog_one2one",90.7295
"362","Copz1","COPZ1","12","ortholog_one2one",100
"363","Hivep1","HIVEP1","6","ortholog_one2one",71.2426
"364","Tsnaxip1","TSNAXIP1","16","ortholog_one2one",75.7102
"365","Ckap4","CKAP4","12","ortholog_one2one",82.7826
"366","Trbv19","TRBV19","7","ortholog_one2one",64.1026
"367","Tcp11l2","TCP11L2","12","ortholog_one2one",78.9168
"368","Tsga10ip","TSGA10IP","11","ortholog_one2one",56.3158
"369","Edn1","EDN1","6","ortholog_one2one",72.7723
"370","Mir148b","MIR148B","12","ortholog_one2one",93.8144
"371","Zfp385a","ZNF385A","12","ortholog_one2one",90.9326
"372","Mir15b","MIR15B","3","ortholog_one2one",98.4375
"373","Mir16-2","MIR16-2","3","ortholog_one2one",83.1579
"374","Trim59","TRIM59","3","ortholog_one2one",82.3821
"375","Trbv29","TRBV28","7","ortholog_one2one",68.4211
"376","Sap130","SAP130","2","ortholog_one2one",93.1883
"377","Drap1","DRAP1","11","ortholog_one2one",90.0943
"378","Ednra","EDNRA","4","ortholog_one2one",92.2717
"379","Cdc14a","CDC14A","1","ortholog_one2one",85.738
"380","Yeats4","YEATS4","12","ortholog_one2one",99.5595
"381","Cenpt","CENPT","16","ortholog_one2one",59.2233
"382","Polr3b","POLR3B","12","ortholog_one2one",99.3822
"383","Tbc1d31","TBC1D31","8","ortholog_one2one",84.2369
"384","Arhgef28","ARHGEF28","5","ortholog_one2one",80.7059
"385","Jam3","JAM3","11","ortholog_one2one",81.9355
"386","Ntsr2","NTSR2","2","ortholog_one2one",77.6442
"387","Trbv30","TRBV29-1","7","ortholog_one2one",70.2703
"388","Thap11","THAP11","16","ortholog_one2one",95.082
"389","Rexo2","REXO2","11","ortholog_one2one",94.0928
"390","AI837181","C11orf68","11","ortholog_one2one",91.9463
"391","Gm26020","RNU2-3P","15","ortholog_one2one",78.6885
"392","Ttc29","TTC29","4","ortholog_one2one",74.9469
"393","Ylpm1","YLPM1","14","ortholog_one2one",87.798
"394","Gm23656","RNU6-158P","4","ortholog_one2one",62.5
"395","Slco1c1","SLCO1C1","12","ortholog_one2one",83.6364
"396","Fosl1","FOSL1","11","ortholog_one2one",89.011
"397","9530003J23Rik","LYZ","12","ortholog_one2one",59.6026
"398","Dnm1l","DNM1L","12","ortholog_one2one",97.7654
"399","Ccdc85b","CCDC85B","11","ortholog_one2one",98.5149
"400","Afap1l2","AFAP1L2","10","ortholog_one2one",80.7829
"401","Rbm7","RBM7","11","ortholog_one2one",83.7736
"402","Six2","SIX2","2","ortholog_one2one",97.2973
"403","Pou4f2","POU4F2","4","ortholog_one2one",96.837
"404","Ablim3","ABLIM3","5","ortholog_one2one",98.0938
"405","Srbd1","SRBD1","2","ortholog_one2one",82.4669
"406","Gm5617","C11orf71","11","ortholog_one2one",66.6667
"407","Arhgef7","ARHGEF7","13","ortholog_one2one",93.3504
"408","Hmgcll1","HMGCLL1","6","ortholog_one2one",91.5452
"409","Lama2","LAMA2","6","ortholog_one2one",88.4862
"410","Magt1","MAGT1","X","ortholog_one2one",85.3261
"411","Kpna4","KPNA4","3","ortholog_one2one",82.6645
"412","Mrpl57","MRPL57","13","ortholog_one2one",83.3333
"413","Tbc1d4","TBC1D4","13","ortholog_one2one",89.7397
"414","Itga5","ITGA5","12","ortholog_one2one",90.1235
"415","Nnmt","NNMT","11","ortholog_one2one",84.8485
"416","Ammecr1l","AMMECR1L","2","ortholog_one2one",98.3871
"417","Mok","MOK","14","ortholog_one2one",83.3333
"418","Col6a5","COL6A5","3","ortholog_one2one",72.5758
"419","Arl14","ARL14","3","ortholog_one2one",75
"420","Rtca","RTCA","1","ortholog_one2one",90.4372
"421","Polr2d","POLR2D","2","ortholog_one2one",100
"422","Sh3tc2","SH3TC2","5","ortholog_one2one",81.6137
"423","Prox2","PROX2","14","ortholog_one2one",64.5868
"424","Ppm1l","PPM1L","3","ortholog_one2one",99.1667
"425","Zbtb16","ZBTB16","11","ortholog_one2one",96.7311
"426","Zfp839","ZNF839","14","ortholog_one2one",49.1857
"427","Cox7b","COX7B","X","ortholog_one2one",78.75
"428","Klrg1","KLRG1","12","ortholog_one2one",56.9149
"429","B3galnt1","B3GALNT1","3","ortholog_one2one",93.3535
"430","Apex2","APEX2","X","ortholog_one2one",78.5851
"431","Gfral","GFRAL","6","ortholog_one2one",69.9746
"432","Dbt","DBT","1","ortholog_one2one",87.1369
"433","Tmem247","TMEM247","2","ortholog_one2one",68.7204
"434","Atp6v1e2","ATP6V1E2","2","ortholog_one2one",78.7611
"435","Fibp","FIBP","11","ortholog_one2one",95.3297
"436","Cpsf6","CPSF6","12","ortholog_one2one",93.3673
"437","Rhoq","RHOQ","2","ortholog_one2one",99.5122
"438","Adrb2","ADRB2","5","ortholog_one2one",87.0813
"439","Wdr33","WDR33","2","ortholog_one2one",96.2406
"440","Lrrc39","LRRC39","1","ortholog_one2one",84.8665
"441","Pom121l2","POM121L2","6","ortholog_one2one",52.1605
"442","Prss16","PRSS16","6","ortholog_one2one",79.7642
"443","Zdhhc20","ZDHHC20","13","ortholog_one2one",88.1579
"444","Nmd3","NMD3","3","ortholog_one2one",94.831
"445","Pigf","PIGF","2","ortholog_one2one",85.8447
"446","Cinp","CINP","14","ortholog_one2one",62.9771
"447","Ctsw","CTSW","11","ortholog_one2one",68.7332
