"","external_gene_name","hsapiens_homolog_associated_gene_name","hsapiens_homolog_chromosome","hsapiens_homolog_orthology_type","hsapiens_homolog_perc_id"
"33","Prrc1","PRRC1","5","ortholog_one2one",87.5846
"34","Ctxn3","CTXN3","5","ortholog_one2one",92.5
"35","Trappc8","TRAPPC8","18","ortholog_one2one",91.7189
"36","Lratd1","LRATD1","2","ortholog_one2one",96.2329
"37","Trib2","TRIB2","2","ortholog_one2one",98.2507
"38","Heatr5a","HEATR5A","14","ortholog_one2one",87.6349
"39","Rnf125","RNF125","18","ortholog_one2one",85.8369
"40","Slc12a2","SLC12A2","5","ortholog_one2one",94.5274
"41","Fam169a","FAM169A","5","ortholog_one2one",80.4511
"42","Dtd2","DTD2","14","ortholog_one2one",84.5238
"43","Nsa2","NSA2","5","ortholog_one2one",99.2308
"44","Gpr33","GPR33","14","ortholog_one2one",70.7965
"45","Vrtn","VRTN","14","ortholog_one2one",70.4054
"46","Mep1b","MEP1B","18","ortholog_one2one",77.2727
"47","Mfsd14b","MFSD14B","9","ortholog_one2one",90.1381
"48","Garem1","GAREM1","18","ortholog_one2one",91.4384
"49","Fbn2","FBN2","5","ortholog_one2one",96.4912
"50","Olfr466","OR9H1P","1","ortholog_one2one",83.7662
"51","Syndig1l","SYNDIG1L","14","ortholog_one2one",89.0295
"52","Epdr1","EPDR1","7","ortholog_one2one",79.4643
"53","Nubpl","NUBPL","14","ortholog_one2one",88.0878
"54","Tfap2a","TFAP2A","6","ortholog_one2one",89.2704
"55","Npc2","NPC2","14","ortholog_one2one",81.2081
"56","Isca2","ISCA2","14","ortholog_one2one",83.7662
"57","Arhgap5","ARHGAP5","14","ortholog_one2one",97.3387
"58","Sfrp4","SFRP4","7","ortholog_one2one",78.0822
"59","Akap6","AKAP6","14","ortholog_one2one",81.2744
"60","Krtap7-1","KRTAP7-1","21","ortholog_one2one",79.3103
"61","Isoc1","ISOC1","5","ortholog_one2one",94.9495
"62","Bmerb1","BMERB1","16","ortholog_one2one",95.5665
"63","Rabl3","RABL3","3","ortholog_one2one",92.3729
"64","Npas3","NPAS3","14","ortholog_one2one",94.4865
"65","Ccdc178","CCDC178","18","ortholog_one2one",50.1155
"66","Hgd","HGD","3","ortholog_one2one",92.5843
"67","Gcnt2","GCNT2","6","ortholog_one2one",77.8055
"68","Egln3","EGLN3","14","ortholog_one2one",96.6527
"69","Sptssa","SPTSSA","14","ortholog_one2one",98.5916
"70","Ndufb4","NDUFB4","3","ortholog_one2one",73.6434
"71","Marf1","MARF1","16","ortholog_one2one",86.2903
"72","Ltbp2","LTBP2","14","ortholog_one2one",80.4865
"73","Minar2","MINAR2","5","ortholog_one2one",79.7927
"74","Nme8","NME8","7","ortholog_one2one",63.3106
"75","Fstl1","FSTL1","3","ortholog_one2one",92.4837
"76","Gm36028","BTN3A1","6","ortholog_one2one",16.7224
"77","Lrrc58","LRRC58","3","ortholog_one2one",94.2623
"78","Asxl3","ASXL3","18","ortholog_one2one",81.7257
"79","Gpr156","GPR156","3","ortholog_one2one",71.4286
"80","Gsk3b","GSK3B","3","ortholog_one2one",96.0739
"81","Pak1ip1","PAK1IP1","6","ortholog_one2one",73.822
"82","Smim3","SMIM3","5","ortholog_one2one",81.6667
"83","Dctn4","DCTN4","5","ortholog_one2one",95.2891
"84","Nr1i2","NR1I2","3","ortholog_one2one",76.5661
"85","Klf9","KLF9","9","ortholog_one2one",96.7213
"86","Eapp","EAPP","14","ortholog_one2one",87.5445
"87","Rbm14","RBM14","11","ortholog_one2one",98.3558
"88","Habp2","HABP2","10","ortholog_one2one",78.7004
"89","Tmem14c","TMEM14C","6","ortholog_one2one",84.2105
"90","Nde1","NDE1","16","ortholog_one2one",83.7209
"91","Gpr141","GPR141","7","ortholog_one2one",80.9836
"92","Nol4","NOL4","18","ortholog_one2one",94.6625
"93","Ppp2r5c","PPP2R5C","14","ortholog_one2one",92.7481
"94","Elmo1","ELMO1","7","ortholog_one2one",99.5873
"95","Ccs","CCS","11","ortholog_one2one",86.8613
"96","Rbm22","RBM22","5","ortholog_one2one",100
"97","Tiam1","TIAM1","21","ortholog_one2one",95.4745
"98","Synpo","SYNPO","5","ortholog_one2one",65
"99","Ccdc87","CCDC87","11","ortholog_one2one",60
"100","Aoah","AOAH","7","ortholog_one2one",76.3066
"101","Ctsf","CTSF","11","ortholog_one2one",78.1385
"102","Ndst1","NDST1","5","ortholog_one2one",97.619
"103","Snx6","SNX6","14","ortholog_one2one",99.5074
"104","Actn3","ACTN3","11","ortholog_one2one",97.2222
"105","Rps14","RPS14","5","ortholog_one2one",100
"106","Uqcrb","UQCRB","8","ortholog_one2one",87.3874
"107","Smc5","SMC5","9","ortholog_one2one",89.4641
"108","Arel1","AREL1","14","ortholog_one2one",97.2053
"109","Dtna","DTNA","18","ortholog_one2one",95.4424
"110","Mak","MAK","6","ortholog_one2one",83.7461
"111","Cfap91","CFAP91","3","ortholog_one2one",73.8186
"112","Dync1h1","DYNC1H1","14","ortholog_one2one",99.2033
"113","Cox17","COX17","3","ortholog_one2one",92.0635
"114","Sod1","SOD1","21","ortholog_one2one",83.1169
"115","Zdhhc24","ZDHHC24","11","ortholog_one2one",87.3239
"116","Trim27","TRIM27","6","ortholog_one2one",98.8304
"117","Mamdc2","MAMDC2","9","ortholog_one2one",89.9417
"118","Adprh","ADPRH","3","ortholog_one2one",80.9392
"119","Cd80","CD80","3","ortholog_one2one",39.5425
"120","Cd74","CD74","5","ortholog_one2one",77.0609
"121","Cfl2","CFL2","14","ortholog_one2one",99.3976
"122","1700028P14Rik","CFAP95","9","ortholog_one2one",62.7193
"123","Gfm2","GFM2","5","ortholog_one2one",84.3389
"124","Ptar1","PTAR1","9","ortholog_one2one",83.9623
"125","Timmdc1","TIMMDC1","3","ortholog_one2one",71.2281
"126","Slc16a2","SLC16A2","X","ortholog_one2one",93.0275
"127","Bbs1","BBS1","11","ortholog_one2one",92.2428
"128","Poglut1","POGLUT1","3","ortholog_one2one",91.3265
"129","Mapre2","MAPRE2","18","ortholog_one2one",97.2393
"130","Fcf1","FCF1","14","ortholog_one2one",97.9798
"131","Vma21","VMA21","X","ortholog_one2one",61.194
"132","Scaf4","SCAF4","21","ortholog_one2one",84.7808
"133","Apba1","APBA1","9","ortholog_one2one",92.9929
"134","Zfp397","ZNF397","18","ortholog_one2one",84.4402
"135","Htr2c","HTR2C","X","ortholog_one2one",90.4139
"136","Fam189a2","FAM189A2","9","ortholog_one2one",89.094
"137","Zfp24","ZNF24","18","ortholog_one2one",95.1087
"138","Ino80c","INO80C","18","ortholog_one2one",59.3074
"139","Dpp3","DPP3","11","ortholog_one2one",92.8184
"140","Rlim","RLIM","X","ortholog_one2one",88.6667
"141","Baz1a","BAZ1A","14","ortholog_one2one",87.3312
"142","Hunk","HUNK","21","ortholog_one2one",92.1569
"143","Tcof1","TCOF1","5","ortholog_one2one",58.1858
"144","Gm1141","PASD1","X","ortholog_one2one",17.5462
"145","Mis18a","MIS18A","21","ortholog_one2one",77.451
"146","Mrap","MRAP","21","ortholog_one2one",63.7795
"147","Hsp90aa1","HSP90AA1","14","ortholog_one2one",99.045
"148","Prrg3","PRRG3","X","ortholog_one2one",93.9394
"149","Tmem39a","TMEM39A","3","ortholog_one2one",95.4733
"150","Nexmif","NEXMIF","X","ortholog_one2one",85.8746
"151","Mterf3","MTERF3","8","ortholog_one2one",76.699
"152","Tjp2","TJP2","9","ortholog_one2one",86.2185
"153","Il13ra2","IL13RA2","X","ortholog_one2one",56.658
"154","Arsi","ARSI","5","ortholog_one2one",95.288
"155","Lpin1","LPIN1","2","ortholog_one2one",84.2754
"156","Galnt1","GALNT1","18","ortholog_one2one",98.39
"157","Hexb","HEXB","5","ortholog_one2one",74.6269
"158","Mrpl47","MRPL47","3","ortholog_one2one",76.9841
"159","Abcb7","ABCB7","X","ortholog_one2one",92.2872
"160","Peli3","PELI3","11","ortholog_one2one",96.6292
"161","Zscan12","ZSCAN12","6","ortholog_one2one",68.6627
"162","Adgrl4","ADGRL4","1","ortholog_one2one",73.613
"163","Enc1","ENC1","5","ortholog_one2one",99.3209
"164","Fxn","FXN","9","ortholog_one2one",74.3961
"165","Ptdss1","PTDSS1","8","ortholog_one2one",97.2516
"166","2700062C07Rik","C18orf21","18","ortholog_one2one",72.8111
"167","Myh11","MYH11","16","ortholog_one2one",96.1597
"168","Uprt","UPRT","X","ortholog_one2one",86.129
"169","Mrpl11","MRPL11","11","ortholog_one2one",86.9792
"170","Gabre","GABRE","X","ortholog_one2one",38.7555
"171","Ndufb5","NDUFB5","3","ortholog_one2one",75.6614
"172","Rprd1a","RPRD1A","18","ortholog_one2one",98.7179
"173","Slc39a6","SLC39A6","18","ortholog_one2one",85.6209
"174","Npas4","NPAS4","11","ortholog_one2one",92.8928
"175","Zdhhc15","ZDHHC15","X","ortholog_one2one",97.9229
"176","Pip5k1b","PIP5K1B","9","ortholog_one2one",96.475
"177","Slc30a7","SLC30A7","1","ortholog_one2one",94.9735
"178","Pspc1","PSPC1","13","ortholog_one2one",97.5143
"179","Camk2a","CAMK2A","5","ortholog_one2one",99.7955
"180","Smug1","SMUG1","12","ortholog_one2one",86.0215
"181","Ifi44","IFI44","1","ortholog_one2one",56.3981
"182","Ccdc134","CCDC134","22","ortholog_one2one",89.5197
"183","Gabra3","GABRA3","X","ortholog_one2one",88.743
"184","Dach1","DACH1","13","ortholog_one2one",90.4128
"185","Ptgfr","PTGFR","1","ortholog_one2one",86.8852
"186","Fam122a","PABIR1","9","ortholog_one2one",97.8873
"187","Pgm5","PGM5","9","ortholog_one2one",97.5309
"188","Usp13","USP13","3","ortholog_one2one",96.5035
"189","Pgbd1","PGBD1","6","ortholog_one2one",63.6145
"190","Nrap","NRAP","10","ortholog_one2one",86.2847
"191","Zmym5","ZMYM5","13","ortholog_one2one",68.4211
"192","Zscan26","ZSCAN26","6","ortholog_one2one",70.8155
"193","Cbx5","CBX5","12","ortholog_one2one",97.9058
"194","Gabrq","GABRQ","X","ortholog_one2one",76.8025
"195","Tmem170b","TMEM170B","6","ortholog_one2one",97.7273
"196","Extl2","EXTL2","1","ortholog_one2one",86.9697
"197","Slc6a7","SLC6A7","5","ortholog_one2one",97.4882
"198","Mzt1","MZT1","13","ortholog_one2one",84.6154
"199","Card6","CARD6","5","ortholog_one2one",51.1489
"200","Wdhd1","WDHD1","14","ortholog_one2one",83.0948
"201","Elp2","ELP2","18","ortholog_one2one",78.219
"202","Arhgap31","ARHGAP31","3","ortholog_one2one",78.8772
"203","Gipc2","GIPC2","1","ortholog_one2one",83.121
"204","Cetn2","CETN2","X","ortholog_one2one",95.9302
"205","Prkaa1","PRKAA1","5","ortholog_one2one",98.7478
"206","Cep20","CEP20","16","ortholog_one2one",78.1609
"207","Adtrp","ADTRP","6","ortholog_one2one",56.4885
"208","Ylpm1","YLPM1","14","ortholog_one2one",88.172
"209","Srebf2","SREBF2","22","ortholog_one2one",89.9115
"210","Dnajb4","DNAJB4","1","ortholog_one2one",93.7685
"211","B4galt4","B4GALT4","3","ortholog_one2one",83.4302
"212","Ift80","IFT80","3","ortholog_one2one",94.5946
"213","Eva1c","EVA1C","21","ortholog_one2one",77.13
"214","Mocos","MOCOS","18","ortholog_one2one",76.5661
"215","Socs4","SOCS4","14","ortholog_one2one",86.6973
"216","Hivep1","HIVEP1","6","ortholog_one2one",71.689
"217","Zmym2","ZMYM2","13","ortholog_one2one",96.1483
"218","Mok","MOK","14","ortholog_one2one",83.3333
"219","Mtbp","MTBP","8","ortholog_one2one",77.9642
"220","Pdgfrb","PDGFRB","5","ortholog_one2one",85.3128
"221","Edn1","EDN1","6","ortholog_one2one",72.7723
"222","Pbdc1","PBDC1","X","ortholog_one2one",81.3131
"223","Bora","BORA","13","ortholog_one2one",71.4286
"224","H2ac23","H2AC4","6","ortholog_one2one",100
"225","Cfap298","CFAP298","21","ortholog_one2one",92.069
"226","Vcam1","VCAM1","1","ortholog_one2one",75.7781
"227","Prox2","PROX2","14","ortholog_one2one",64.5868
"228","Magee1","MAGEE1","X","ortholog_one2one",63.3987
"229","Igsf11","IGSF11","3","ortholog_one2one",87.6168
"230","Zfp839","ZNF839","14","ortholog_one2one",50.4886
"231","Csf1r","CSF1R","5","ortholog_one2one",74.5138
"232","Gjb6","GJB6","13","ortholog_one2one",95.4023
"233","Lsamp","LSAMP","3","ortholog_one2one",87.8873
"234","Arhgef28","ARHGEF28","5","ortholog_one2one",80.7059
"235","Smc4","SMC4","3","ortholog_one2one",89.5023
"236","Cryl1","CRYL1","13","ortholog_one2one",84.0125
"237","Shisa8","SHISA8","22","ortholog_one2one",80.2005
"238","Slc29a2","SLC29A2","11","ortholog_one2one",88.8158
"239","Sntb1","SNTB1","8","ortholog_one2one",93.2961
"240","Dis3","DIS3","13","ortholog_one2one",91.1273
"241","Ttc33","TTC33","5","ortholog_one2one",82.0611
"242","Abcc1","ABCC1","16","ortholog_one2one",88.2853
"243","Cinp","CINP","14","ortholog_one2one",62.9771
"244","Tnfrsf13c","TNFRSF13C","22","ortholog_one2one",47
"245","Trim59","TRIM59","3","ortholog_one2one",82.3821
"246","Lgals3","LGALS3","14","ortholog_one2one",78.0303
"247","Hmgxb3","HMGXB3","5","ortholog_one2one",89.0358
"248","Cdc14a","CDC14A","1","ortholog_one2one",85.738
"249","B4gat1","B4GAT1","11","ortholog_one2one",96.6265
"250","Hnrnpa1","HNRNPA1","12","ortholog_one2one",99.4638
"251","Dlst","DLST","14","ortholog_one2one",92.0705
"252","Pnma5","PNMA5","X","ortholog_one2one",39.9676
"253","Ift88","IFT88","13","ortholog_one2one",89.2121
"254","Casp7","CASP7","10","ortholog_one2one",82.1782
"255","Slc26a2","SLC26A2","5","ortholog_one2one",80.9202
"256","Brms1","BRMS1","11","ortholog_one2one",92.2764
"257","Gap43","GAP43","3","ortholog_one2one",83.7004
"258","Kpna4","KPNA4","3","ortholog_one2one",82.6645
"259","Dock8","DOCK8","9","ortholog_one2one",91.8571
"260","Ptger4","PTGER4","5","ortholog_one2one",84.0156
"261","Dock11","DOCK11","X","ortholog_one2one",96.575
"262","Snai2","SNAI2","8","ortholog_one2one",95.1673
"263","Pibf1","PIBF1","13","ortholog_one2one",88.8889
"264","Efcab1","CLXN","8","ortholog_one2one",91.5094
"265","Pom121l2","POM121L2","6","ortholog_one2one",52.1605
"266","Rtca","RTCA","1","ortholog_one2one",90.4372
"267","Nfe2","NFE2","12","ortholog_one2one",83.5859
"268","Rin1","RIN1","11","ortholog_one2one",80.1034
"269","Zmiz1","ZMIZ1","10","ortholog_one2one",97.5746
"270","Ppm1l","PPM1L","3","ortholog_one2one",99.1667
"271","Synj1","SYNJ1","21","ortholog_one2one",76.2912
"272","Cenpm","CENPM","22","ortholog_one2one",79.4444
"273","Utp15","UTP15","5","ortholog_one2one",88.0682
"274","B3galnt1","B3GALNT1","3","ortholog_one2one",93.3535
"275","Cd248","CD248","11","ortholog_one2one",77.7778
"276","Dbt","DBT","1","ortholog_one2one",87.1369
"277","Greb1","GREB1","2","ortholog_one2one",88.8434
"278","Tmem151a","TMEM151A","11","ortholog_one2one",97.4359
"279","Kank1","KANK1","9","ortholog_one2one",84.3382
"280","Lrrc39","LRRC39","1","ortholog_one2one",84.8665
"281","Dmrt1","DMRT1","9","ortholog_one2one",82.6203
"282","Zhx2","ZHX2","8","ortholog_one2one",87.201
"283","Pde6a","PDE6A","5","ortholog_one2one",94.7674
"284","Nmd3","NMD3","3","ortholog_one2one",94.831
"285","Dmrt3","DMRT3","9","ortholog_one2one",90.5462
"286","Derl1","DERL1","8","ortholog_one2one",97.6096
"287","Eef1akmt1","EEF1AKMT1","13","ortholog_one2one",78.125
"288","Yif1a","YIF1A","11","ortholog_one2one",92.4915
"289","Copz1","COPZ1","12","ortholog_one2one",100
"290","Klf5","KLF5","13","ortholog_one2one",91.4798
"291","Tpgs2","TPGS2","18","ortholog_one2one",85.8108
"292","Klf12","KLF12","13","ortholog_one2one",96.7662
"293","Ube2v2","UBE2V2","8","ortholog_one2one",98.6207
"294","Ppargc1b","PPARGC1B","5","ortholog_one2one",76.0194
"295","Zfp385a","ZNF385A","12","ortholog_one2one",91.1917
"296","Nhlrc2","NHLRC2","10","ortholog_one2one",83.8621
"297","Ppp2r3c","PPP2R3C","14","ortholog_one2one",98.234
"298","Pex5l","PEX5L","3","ortholog_one2one",92.7692
"299","Mcm4","MCM4","8","ortholog_one2one",95.0116
"300","Tbc1d31","TBC1D31","8","ortholog_one2one",84.2369
"301","Rps6kl1","RPS6KL1","14","ortholog_one2one",79.4118
"302","Xpo4","XPO4","13","ortholog_one2one",98.523
"303","Adrb1","ADRB1","10","ortholog_one2one",92.4893
"304","AW554918","KIAA1328","18","ortholog_one2one",68.3007
"305","Il13ra1","IL13RA1","X","ortholog_one2one",75.2358
"306","Ccdc186","CCDC186","10","ortholog_one2one",82.4427
"307","E2f6","E2F6","2","ortholog_one2one",87.1324
"308","Phactr1","PHACTR1","6","ortholog_one2one",86.5948
"309","Paxbp1","PAXBP1","21","ortholog_one2one",95.1034
"310","Pgf","PGF","14","ortholog_one2one",59.8765
"311","Celf4","CELF4","18","ortholog_one2one",95.6349
"312","Rab1b","RAB1B","11","ortholog_one2one",73.622
"313","Lats2","LATS2","13","ortholog_one2one",86.0844
"314","Tecpr2","TECPR2","14","ortholog_one2one",81.6585
"315","Itga5","ITGA5","12","ortholog_one2one",90.4084
"316","Klc2","KLC2","11","ortholog_one2one",95.9612
"317","4932438H23Rik","C21orf62","21","ortholog_one2one",64.7826
"318","Septin3","SEPTIN3","22","ortholog_one2one",68.7348
"319","Eif2b2","EIF2B2","14","ortholog_one2one",94.0171
"320","Ska3","SKA3","13","ortholog_one2one",62.5304
"321","Zbtb20","ZBTB20","3","ortholog_one2one",97.7058
"322","Pacs1","PACS1","11","ortholog_one2one",97.6067
"323","Lonrf3","LONRF3","X","ortholog_one2one",80.7437
"324","Dlgap5","DLGAP5","14","ortholog_one2one",60.5198
"325","Prorp","PRORP","14","ortholog_one2one",77.3973
"326","Trmt13","TRMT13","1","ortholog_one2one",84.8233
"327","Ankra2","ANKRA2","5","ortholog_one2one",95.1923
"328","Gm14569","KIAA1210","X","ortholog_one2one",29.8106
"329","Pik3c3","PIK3C3","18","ortholog_one2one",97.8579
"330","Sf3b2","SF3B2","11","ortholog_one2one",97.7221
"331","Naga","NAGA","22","ortholog_one2one",81.6867
"332","Atrx","ATRX","X","ortholog_one2one",84.2084
"333","Psma6","PSMA6","14","ortholog_one2one",99.5935
"334","Rcor1","RCOR1","14","ortholog_one2one",93.125
"335","Snx27","SNX27","1","ortholog_one2one",98.8868
"336","Pheta2","PHETA2","22","ortholog_one2one",77.9923
"337","Tigit","TIGIT","3","ortholog_one2one",59.751
"338","Gal3st3","GAL3ST3","11","ortholog_one2one",94.6636
"339","Mlh3","MLH3","14","ortholog_one2one",72.3493
"340","Prkdc","PRKDC","8","ortholog_one2one",79.094
"341","Smdt1","SMDT1","22","ortholog_one2one",81.3084
"342","Cst6","CST6","11","ortholog_one2one",69.1275
"343","Mrpl57","MRPL57","13","ortholog_one2one",83.3333
"344","Tdrd1","TDRD1","10","ortholog_one2one",72.0136
"345","Tbc1d4","TBC1D4","13","ortholog_one2one",89.6631
"346","Nfkbia","NFKBIA","14","ortholog_one2one",92.0382
"347","Rit2","RIT2","18","ortholog_one2one",91.7051
"348","Insm2","INSM2","14","ortholog_one2one",72.8195
"349","Sass6","SASS6","1","ortholog_one2one",85.0153
"350","Syt4","SYT4","18","ortholog_one2one",89.8824
"351","Foxd1","FOXD1","5","ortholog_one2one",80.0439
"352","Slc25a46","SLC25A46","5","ortholog_one2one",88.756
"353","Rock2","ROCK2","2","ortholog_one2one",92.867
"354","Il17b","IL17B","5","ortholog_one2one",88.3333
"355","Pcyox1l","PCYOX1L","5","ortholog_one2one",93.3333
"356","Ndufa6","NDUFA6","22","ortholog_one2one",85.4962
"357","Tbc1d7","TBC1D7","6","ortholog_one2one",90.785
"358","Grpel2","GRPEL2","5","ortholog_one2one",85.2679
"359","Mfsd14a","MFSD14A","1","ortholog_one2one",99.5918
"360","Drd3","DRD3","3","ortholog_one2one",75.7322
"361","Zdhhc20","ZDHHC20","13","ortholog_one2one",88.1579
"362","Nckap1l","NCKAP1L","12","ortholog_one2one",94.2681
"363","Tuft1","TUFT1","1","ortholog_one2one",88.9744
"364","Sap130","SAP130","2","ortholog_one2one",93.1883
"365","Cebpd","CEBPD","8","ortholog_one2one",85.0746
"366","Gfod1","GFOD1","6","ortholog_one2one",98.2051
"367","Qtrt2","QTRT2","3","ortholog_one2one",87.2596
"368","Magt1","MAGT1","X","ortholog_one2one",85.3261
"369","Zc2hc1c","ZC2HC1C","14","ortholog_one2one",54.0797
"370","Fbxo34","FBXO34","14","ortholog_one2one",68.3646
"371","Nek9","NEK9","14","ortholog_one2one",95.1219
"372","Ifnar2","IFNAR2","21","ortholog_one2one",46.3938
"373","Sis","SI","3","ortholog_one2one",78.1628
"374","Ablim3","ABLIM3","5","ortholog_one2one",98.0938
"375","Sirt5","SIRT5","6","ortholog_one2one",72.8571
"376","Traf3","TRAF3","14","ortholog_one2one",96.1199
"377","Commd6","COMMD6","13","ortholog_one2one",80.4598
"378","Eif1ad","EIF1AD","11","ortholog_one2one",87.6471
"379","Micu2","MICU2","13","ortholog_one2one",86.3426
"380","Vwa2","VWA2","10","ortholog_one2one",76.359
"381","Tmem65","TMEM65","8","ortholog_one2one",94.0171
"382","Ammecr1l","AMMECR1L","2","ortholog_one2one",98.3871
"383","Mtrr","MTRR","5","ortholog_one2one",78.592
"384","Tmed10","TMED10","14","ortholog_one2one",92.6941
"385","Fgf9","FGF9","13","ortholog_one2one",99.5192
"386","Slitrk3","SLITRK3","3","ortholog_one2one",96.1225
"387","Sart1","SART1","11","ortholog_one2one",94.665
"388","Trmt12","TRMT12","8","ortholog_one2one",78.9238
"389","Pqlc3","SLC66A3","2","ortholog_one2one",85.1485
"390","Rnf139","RNF139","8","ortholog_one2one",93.1138
"391","Spidr","SPIDR","8","ortholog_one2one",63.1297
"392","Bche","BCHE","3","ortholog_one2one",79.4361
"393","Atg14","ATG14","14","ortholog_one2one",92.8862
"394","Sh3tc2","SH3TC2","5","ortholog_one2one",81.5361
"395","Dab2","DAB2","5","ortholog_one2one",83.9426
"396","Slc35a3","SLC35A3","1","ortholog_one2one",95.092
"397","Cox7b","COX7B","X","ortholog_one2one",78.75
"398","Nol7","NOL7","6","ortholog_one2one",76.378
"399","Apex2","APEX2","X","ortholog_one2one",78.5851
"400","Fos","FOS","14","ortholog_one2one",93.6842
"401","Pkp2","PKP2","12","ortholog_one2one",81.8868
"402","Adrb2","ADRB2","5","ortholog_one2one",87.0813
"403","Fastkd3","FASTKD3","5","ortholog_one2one",64.5991
"404","Wdr33","WDR33","2","ortholog_one2one",96.4662
"405","Rcbtb1","RCBTB1","13","ortholog_one2one",96.0452
"406","Jdp2","JDP2","14","ortholog_one2one",96.319
"407","Il10rb","IL10RB","21","ortholog_one2one",63.5328
"408","Tsga10ip","TSGA10IP","11","ortholog_one2one",56.3158
"409","Zbbx","ZBBX","3","ortholog_one2one",56.2849
"410","Flvcr2","FLVCR2","14","ortholog_one2one",82.7586
"411","Zfp322a","ZNF322","6","ortholog_one2one",83.6585
"412","Ccdc191","CCDC191","3","ortholog_one2one",71.0079
"413","Pdia6","PDIA6","2","ortholog_one2one",94.1573
"414","Sft2d3","SFT2D3","2","ortholog_one2one",78.7736
"415","Htr4","HTR4","5","ortholog_one2one",93.299
"416","1700001L19Rik","C5orf49","5","ortholog_one2one",59.3407
"417","Abt1","ABT1","6","ortholog_one2one",79.1822
"418","Drap1","DRAP1","11","ortholog_one2one",90.0943
"419","Lmo7","LMO7","13","ortholog_one2one",77.8693
"420","Agl","AGL","1","ortholog_one2one",91.906
"421","Btn1a1","BTN1A1","6","ortholog_one2one",74.2366
"422","Alas2","ALAS2","X","ortholog_one2one",90.1192
"423","Yars2","YARS2","12","ortholog_one2one",85.3814
"424","Cdc42bpb","CDC42BPB","14","ortholog_one2one",91.8272
"425","Lims2","LIMS2","2","ortholog_one2one",91.2023
"426","Zdhhc23","ZDHHC23","3","ortholog_one2one",90.1176
"427","Adcy2","ADCY2","5","ortholog_one2one",95.2511
"428","Ifnar1","IFNAR1","21","ortholog_one2one",44.9153
"429","Fbxo38","FBXO38","5","ortholog_one2one",93.8023
"430","Atp7a","ATP7A","X","ortholog_one2one",89.8123
"431","Ranbp9","RANBP9","6","ortholog_one2one",95.9155
"432","Myo7b","MYO7B","2","ortholog_one2one",81.8268
"433","Erg28","ERG28","14","ortholog_one2one",97.8571
"434","AI837181","C11orf68","11","ortholog_one2one",91.9463
"435","Pdcd10","PDCD10","3","ortholog_one2one",99.5283
"436","Ifngr2","IFNGR2","21","ortholog_one2one",59.3373
"437","Exoc3l4","EXOC3L4","14","ortholog_one2one",72.1221
"438","Ccdc85b","CCDC85B","11","ortholog_one2one",98.5149
"439","Afap1l2","AFAP1L2","10","ortholog_one2one",80.7829
"440","Tmem50b","TMEM50B","21","ortholog_one2one",98.1013
"441","Cgn","CGN","1","ortholog_one2one",86.9128
"442","Fcho2","FCHO2","5","ortholog_one2one",94.932
"443","Zfp275","ZNF460","19","ortholog_one2one",31.8637
"444","Gramd1c","GRAMD1C","3","ortholog_one2one",82.1752
"445","Atp6v1c2","ATP6V1C2","2","ortholog_one2one",89.4737
"446","Zfp92","ZFP92","X","ortholog_one2one",52.6639
